
state,state_code,complaints_2024,complaints_2023,complaints_2022,complaints_2021,losses_2024_million
California,CA,96265,91452,86879,82535,2539.0
Texas,TX,62347,59230,56268,53455,1352.0
Florida,FL,52191,49581,47102,44747,1072.0
New York,NY,36468,34645,32913,31267,904.0
Pennsylvania,PA,27838,26446,25124,23868,400.0
Illinois,IL,25446,24174,22965,21817,479.0
Ohio,OH,24915,23669,22486,21362,
Indiana,IN,23689,22505,21380,20311,
North Carolina,NC,22021,20920,19874,18880,
Arizona,AZ,20101,19096,18141,17234,392.0
