
state,state_code,complaints_2024,complaints_2023,complaints_2022,complaints_2021,losses_2024_million
California,CA,96265,91451,86638,81825,2539.0
Texas,TX,62347,59229,56112,52994,1352.0
Florida,FL,52191,49581,46971,44362,1072.0
New York,NY,36468,34644,32821,30997,904.0
Pennsylvania,PA,27838,26446,25054,23662,400.0
Illinois,IL,25446,24173,22901,21629,479.0
Ohio,OH,24915,23669,22423,21177,
Indiana,IN,23689,22504,21320,20135,
North Carolina,NC,22021,20919,19818,18717,
Arizona,AZ,20101,19095,18090,17085,392.0
